Text,Difficulty,num_chars,num_words,avg_word_length,num_stopwords,ratio_num_words_over_stopwords,PRON,VERB,DET,NOUN,ADP,NUM,CCONJ,PUNCT,num_words_before_first_verb,AUX,ADJ,LOC,SCONJ,PROPN,ORG,ADV,MISC,PER,X,SYM,PART,INTJ,SPACE
Le docteur offre un travail pour combien de temps ?,A1,51,10,4.2,3.0,3.3333333333333335,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Que faire à Paris ?,A1,19,5,3.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S’il fait beau, l’après-midi vous pouvez aller au jardin du Luxembourg et, le soir vous pouvez faire un tour en bateau jusqu’à la Tour Eiffel.",A1,142,25,4.72,8.0,3.125,3.0,5.0,5.0,6.0,2.0,0.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Au restaurant Paris Musical, près des Champs Elysées, vous pouvez voir des spectacles et manger pour 21 €.",A1,106,18,4.944444444444445,5.0,3.6,1.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0,9.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Réservez vos billets dans le bureau 127 de l’université du lundi au vendredi (10 h - 18 h).,A1,91,18,4.111111111111111,6.0,3.0,1.0,0.0,4.0,7.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Coucou mes amis, je réunis tous ceux que j’aime bien pour fêter l’arrivée de l’été le 21 juin",A1,93,18,4.222222222222222,6.0,3.0,3.0,4.0,2.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j’espère vous avoir près de moi pour une jolie fête.,A1,52,10,4.3,5.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Je propose que tout le monde apporte quelque chose à manger.,A1,60,11,4.545454545454546,3.0,3.6666666666666665,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
On va manger dans le jardin.,A1,28,6,3.8333333333333335,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Et après, on peut prendre un bain dans la piscine, l’eau est bonne !",A1,68,14,3.9285714285714284,5.0,2.8,1.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J’attends votre réponse.,A1,24,3,7.333333333333333,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
À bientôt.,A1,10,2,4.5,0.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Serge, Papa est en voyage jusqu’à demain.",A1,41,7,5.0,2.0,3.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Je suis encore au bureau, je vais rentrer plus tard.",A1,52,10,4.3,3.0,3.3333333333333335,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ne m’attends pas.,A1,17,3,5.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"J’ai préparé le repas, il est dans la cuisine.",A1,46,9,4.222222222222222,5.0,1.8,1.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pour le dessert il y a de la mousse au chocolat.,A1,48,11,3.4545454545454546,6.0,1.8333333333333333,2.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ne te couche pas trop tard, tu vas à l’école demain.",A1,52,11,3.8181818181818183,4.0,2.75,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bises.,A1,6,1,6.0,0.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L’école organise un festival de musique le 21 juin prochain.,A1,60,10,5.1,3.0,3.3333333333333335,0.0,0.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comment ?,A1,9,2,4.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C’est facile !,A1,14,3,4.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Laurence attend votre inscription.,A1,34,4,7.75,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Son bureau est entre la bibliothèque et la salle de dessin.,A1,59,11,4.454545454545454,5.0,2.2,0.0,0.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L’inscription est gratuite et ouverte du 2 au 24 février.,A1,57,10,4.8,4.0,2.5,0.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"À partir de la gare routière, prendre l’avenue des Belges, puis tourner à gauche au cinéma Le Renoir.",A1,101,18,4.666666666666667,5.0,3.6,0.0,4.0,3.0,6.0,4.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Continuer tout droit : vous êtes sur le cours Mirabeau, l’avenue principale de la ville d’Aix-en-Provence avec ses 4 magnifiques fontaines.",A1,139,21,5.666666666666667,8.0,2.625,1.0,3.0,4.0,4.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Le cours Mirabeau est connu pour ses nombreux cafés.,A1,52,9,4.888888888888889,3.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Vous pouvez vous arrêter pour prendre le petit déjeuner au café Les 2 garçons situé au numéro 53 du cours Mirabeau.,A1,115,21,4.523809523809524,6.0,3.5,2.0,5.0,5.0,4.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Salut, moi c’est Laura.",A1,23,4,5.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tu aimes mon nouveau pull bleu?,A1,31,6,4.333333333333333,1.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Le bleu, c’est ma couleur préférée mais je n’aime pas le vert!",A1,62,12,4.25,5.0,2.4,2.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bonjour, c’est mon dernier jour dans cette école.",A1,49,8,5.25,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Je t’invite à une fête chez moi, dimanche 24 juin à 14h30.",A1,58,12,3.9166666666666665,3.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"On va se déguiser, se maquiller, danser et chanter.",A1,51,9,4.777777777777778,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
On va manger des glaces et des bonbons.,A1,39,8,4.0,3.0,2.6666666666666665,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Toi, tu peux apporter un jus de fruits.",A1,39,8,4.0,3.0,2.6666666666666665,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
À dimanche!,A1,11,2,5.0,0.0,inf,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tu peux assister à des cours de danse, de hockey, et de gym.",A1,60,13,3.6923076923076925,6.0,2.1666666666666665,0.0,2.0,2.0,2.0,4.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N’oublie pas de venir avec des chaussures de sport.,A1,51,9,4.777777777777778,5.0,1.8,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prends un pot de yaourt en verre.,A1,33,7,3.857142857142857,3.0,2.3333333333333335,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lave bien le pot de yaourt, il doit être propre!",A1,48,10,3.9,3.0,3.3333333333333335,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Découpe les feuilles de papier: fais des ronds, des carrés.",A1,59,10,5.0,4.0,2.5,0.0,1.0,2.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colle les formes en papier sur le pot de yaourt.,A1,48,10,3.9,5.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Avec la peinture, faits des dessins sur le pot.",A1,47,9,4.333333333333333,4.0,2.25,0.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mets la bougie dans le pot.,A1,27,6,3.6666666666666665,3.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salut!,A1,6,1,6.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonjour !,A1,9,2,4.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Comment ça va ?,A1,15,4,3.0,0.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vous êtes musicien ?,A1,20,4,4.25,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S’il pleut, allez visiter le musée Carnavalet sur l’Histoire de Paris et finissez la journée avec une pièce de théâtre à la Comédie-Française.",A2,142,23,5.217391304347826,10.0,2.3,1.0,4.0,4.0,8.0,5.0,0.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tu vas bien? Moi, je suis en vacances chez oncle Guillaume et tante Noémie.",A2,75,14,4.428571428571429,4.0,3.5,1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"C’est super, je fais plein de choses avec mes cousins: aujourd’hui, on est allés à la piscine et demain, on va faire du camping en forêt.",A2,137,26,4.3076923076923075,12.0,2.1666666666666665,3.0,5.0,3.0,5.0,4.0,0.0,1.0,5.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jeudi, on va au restaurant pour l’anniversaire de ma sœur.",A2,58,10,4.9,5.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Je vais lui offrir un livre que j’aime beaucoup : «Kurt et le poisson», tu connais?",A2,83,16,4.25,6.0,2.6666666666666665,3.0,3.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Et toi, ça va ?",A2,15,5,2.2,0.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Quand je rentre, je demande à mes parents si je peux t’appeler pour avoir de tes nouvelles.",A2,91,17,4.411764705882353,8.0,2.125,3.0,5.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
À bientôt!,A2,10,2,4.5,0.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tu es fatigué en hiver?,A2,23,5,3.8,2.0,2.5,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Voici quelques conseils pour t’aider.,A2,37,5,6.6,1.0,5.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mange des fruits comme les oranges, et aussi des légumes.",A2,57,10,4.8,4.0,2.5,0.0,0.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Le soir, ne regarde pas la télévision et ne joue pas sur l’ordinateur avant de te coucher.",A2,90,17,4.352941176470588,9.0,1.8888888888888888,0.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lis un livre pour être plus calme.,A2,34,7,4.0,2.0,3.5,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pour ne pas être malade, lave-toi souvent les mains et ne bois pas dans le verre d’un autre enfant.",A2,99,19,4.2631578947368425,8.0,2.375,0.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pour avoir plus d’informations, tu peux venir voir le médecin de l’école tous les jours au bureau 4B, au 4e étage.",A2,114,21,4.476190476190476,6.0,3.5,0.0,4.0,4.0,6.0,2.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Quand tu sors de l’ascenseur, tourne à droite et encore à droite.",A2,65,12,4.5,5.0,2.4,0.0,1.0,0.0,3.0,3.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Le bureau est en face de la machine à café.,A2,43,10,3.4,5.0,2.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chaque année au mois de mars, pour fêter l’arrivée du printemps, toutes les classes de l’école préparent des activités.",A2,119,19,5.315789473684211,7.0,2.7142857142857144,0.0,1.0,4.0,9.0,4.0,1.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C’est une fête très joyeuse où tout le monde met des vêtements pleins de couleurs.,A2,82,15,4.533333333333333,4.0,3.75,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cette année, nous avons demandé à nos parents de faire des gâteaux et nous les avons vendus.",A2,92,17,4.470588235294118,10.0,1.7,3.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nous avons gagné 206€.,A2,22,4,4.75,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Avec l’argent, notre professeur va acheter de la peinture et des crayons pour le cours de dessin.",A2,97,17,4.764705882352941,8.0,2.125,0.0,2.0,3.0,6.0,5.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La classe de Mme Gaudé a fait une pièce de théâtre en anglais et la classe de M. Prêche a présenté un spectacle de danse.,A2,121,25,3.88,9.0,2.7777777777777777,0.0,2.0,4.0,9.0,5.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Il y a eu beaucoup de spectateurs et tout le monde a bien aimé la Fête.,A2,71,16,3.5,6.0,2.6666666666666665,2.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pour moi, tout va bien.",A2,23,5,3.8,0.0,inf,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Je t’écris pour te dire que je vais partir cet été en Corse avec ma famille.,A2,76,16,3.8125,8.0,2.0,2.0,5.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"La Corse est une petite île au sud de la France, dans la mer Méditerranée.",A2,74,15,4.0,7.0,2.142857142857143,0.0,1.0,5.0,1.0,2.0,0.0,0.0,2.0,15.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mes parents disent que l’île est très jolie : il y a de très belles plages, on va pouvoir nager.",A2,96,20,3.85,6.0,3.3333333333333335,3.0,7.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Il paraît qu’on mange bien : l’une des spécialités de l’île est le fromage de chèvre.,A2,85,16,4.375,5.0,3.2,2.0,3.0,2.0,4.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J’adore ça.,A2,11,2,5.0,0.0,inf,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nous partons le 2 juillet en bateau, après les examens de mon frère et nous rentrons en France le 30 juillet.",A2,109,21,4.238095238095238,9.0,2.3333333333333335,2.0,2.0,4.0,5.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Et toi, qu’est-ce que tu vas faire ?",A2,36,8,3.625,2.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Faire fondre le beurre et le sucre pour former du caramel.,A2,58,11,4.363636363636363,5.0,2.2,0.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verser dans un moule.,A2,21,4,4.5,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couper les pommes en petits morceaux et les mettre sur le caramel,A2,65,12,4.5,6.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attention : le caramel doit être déjà froid.,A2,44,8,4.625,1.0,8.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ajouter un peu de cannelle.,A2,27,5,4.6,2.0,2.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
